,Adj Close,Close,High,Low,Open,Volume
A,29.988590240478516,32.4892692565918,33.226036071777344,32.46065902709961,33.03290557861328,4703152.0
AAL,16.639387130737305,17.649999618530273,18.200000762939453,17.559999465942383,17.780000686645508,4543800.0
AAP,78.56843566894531,81.98999786376953,83.38999938964844,81.87999725341797,82.38999938964844,548800.0
AAPL,14.095032691955566,16.046785354614258,16.229642868041992,15.978214263916016,16.18642807006836,292728800.0
ABBV,30.17473030090332,43.630001068115234,44.470001220703125,43.380001068115234,43.41999816894531,4528400.0
ABC,46.349815368652344,53.2599983215332,53.400001525878906,52.689998626708984,52.72999954223633,2779700.0
ABMD,21.1200008392334,21.1200008392334,21.920000076293945,20.950000762939453,21.81999969482422,382300.0
ABT,31.099361419677734,36.79999923706055,37.209999084472656,36.529998779296875,37.060001373291016,6066400.0
ACN,68.40546417236328,81.25,82.29000091552734,80.94000244140625,82.0,3340300.0
ADBE,44.38999938964844,44.38999938964844,44.79999923706055,43.529998779296875,43.66999816894531,5249400.0
ADI,37.707313537597656,46.130001068115234,46.81999969482422,45.91999816894531,46.220001220703125,2243100.0
ADM,25.87041664123535,33.0,33.150001525878906,32.619998931884766,32.689998626708984,3409200.0
ADP,49.500022888183594,60.55311584472656,61.343284606933594,60.24583053588867,60.97454071044922,2023320.0
ADSK,36.70000076293945,36.70000076293945,37.709999084472656,36.56999969482422,37.31999969482422,2060600.0
AEE,25.300086975097656,34.02000045776367,34.08000183105469,33.68000030517578,33.86000061035156,2672100.0
AEP,33.7094612121582,46.04999923706055,46.27000045776367,45.779998779296875,46.02000045776367,3282800.0
AES,9.267048835754395,12.279999732971191,12.380000114440918,12.180000305175781,12.3100004196167,6288900.0
AFL,22.6137638092041,27.905000686645508,28.360000610351562,27.709999084472656,28.25,5020400.0
AIG,36.34442901611328,44.099998474121094,45.470001220703125,43.689998626708984,44.959999084472656,15159600.0
AIZ,40.99454116821289,48.97999954223633,49.66999816894531,48.560001373291016,49.540000915527344,617400.0
