,Adj Close,Close,High,Low,Open,Volume
A,25.390274047851562,27.653791427612305,27.861230850219727,27.246065139770508,27.281831741333008,5490645.0
AAL,11.416598320007324,12.109999656677246,12.520000457763672,11.970000267028809,12.460000038146973,6484300.0
AAP,69.0782241821289,72.19999694824219,72.95999908447266,72.0199966430664,72.58999633789062,692500.0
AAPL,16.693620681762695,19.24250030517578,20.33035659790039,19.241785049438477,20.318214416503906,1044638000.0
ABBV,,,,,,
ABC,36.47276306152344,42.2599983215332,42.75,42.02000045776367,42.75,2845600.0
ABMD,12.880000114440918,12.880000114440918,13.229999542236328,12.859999656677246,13.079999923706055,378600.0
ABT,25.9627685546875,30.966291427612305,31.091039657592773,30.74558448791504,30.841543197631836,10307837.0
ACN,57.9743766784668,69.5999984741211,69.86000061035156,68.55000305175781,68.77999877929688,3058200.0
ADBE,35.400001525878906,35.400001525878906,35.630001068115234,34.86000061035156,35.29999923706055,4277000.0
ADI,32.66588592529297,40.56999969482422,40.77000045776367,40.220001220703125,40.540000915527344,1572200.0
ADM,20.704059600830078,26.719999313354492,27.079999923706055,26.68000030517578,26.760000228881836,4908600.0
ADP,40.4903564453125,50.254608154296875,50.41264343261719,49.6575927734375,49.75416946411133,1649044.0
ADSK,33.599998474121094,33.599998474121094,33.83000183105469,32.77000045776367,33.040000915527344,2996500.0
AEE,21.721620559692383,29.959999084472656,30.079999923706055,29.299999237060547,29.479999542236328,2329100.0
AEP,30.991586685180664,43.20000076293945,43.459999084472656,42.33000183105469,42.34000015258789,3452900.0
AES,8.140567779541016,10.859999656677246,10.920000076293945,10.619999885559082,10.699999809265137,8289900.0
AFL,21.420103073120117,26.790000915527344,26.875,26.299999237060547,26.375,6743800.0
AIG,27.839336395263672,33.779998779296875,34.29999923706055,33.45000076293945,33.52000045776367,28749400.0
AIZ,28.841463088989258,34.810001373291016,35.0,34.630001068115234,34.790000915527344,925100.0
AJG,28.915363311767578,36.459999084472656,36.66999816894531,36.310001373291016,36.439998626708984,413000.0
AKAM,35.5,35.5,36.0,35.02000045776367,35.970001220703125,2413300.0
ALB,51.19198989868164,59.13999938964844,59.47999954223633,58.52000045776367,58.9900016784668,462500.0
ALGN,26.139999389648438,26.139999389648438,26.760000228881836,26.06999969482422,26.65999984741211,1173800.0
ALK,19.0958194732666,21.235000610351562,21.454999923706055,21.170000076293945,21.325000762939453,1409200.0
ALL,34.2102165222168,41.29999923706055,41.59000015258789,40.58000183105469,40.61000061035156,4704100.0
ALLE,,,,,,
AMAT,9.319009780883789,10.800000190734863,10.930000305175781,10.770000457763672,10.869999885559082,10727000.0
AMCR,5.885622978210449,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,0.0
AMD,2.2899999618530273,2.2899999618530273,2.319999933242798,2.25,2.299999952316284,20378800.0
AME,35.48493576049805,37.709999084472656,37.849998474121094,37.11000061035156,37.36000061035156,974800.0
AMGN,70.2809066772461,89.01000213623047,89.41999816894531,87.7699966430664,88.55000305175781,3425400.0
AMP,48.968666076660156,61.119998931884766,61.36000061035156,60.47999954223633,60.61000061035156,1074400.0
AMT,62.597713470458984,74.61000061035156,74.98999786376953,73.5199966430664,74.95999908447266,1959200.0
AMZN,253.9600067138672,253.9600067138672,255.5500030517578,250.3800048828125,252.44000244140625,2852200.0
ANET,,,,,,
ANSS,66.0199966430664,66.0199966430664,66.5999984741211,65.38999938964844,66.16000366210938,398200.0
ANTM,48.879547119140625,56.099998474121094,56.45000076293945,55.33000183105469,55.61000061035156,1572200.0
AON,51.291908264160156,56.650001525878906,56.970001220703125,56.459999084472656,56.7400016784668,1823600.0
AOS,13.834052085876465,15.837499618530273,15.932499885559082,15.572500228881836,15.8774995803833,1641600.0
APA,65.94441223144531,77.7300033569336,78.16000366210938,76.51000213623047,76.58000183105469,3398500.0
APD,59.35934829711914,75.846435546875,76.04070281982422,75.25439453125,75.50416564941406,1064785.0
APH,13.936269760131836,15.242500305175781,15.274999618530273,15.050000190734863,15.234999656677246,1384800.0
APTV,25.94474983215332,28.39061164855957,28.616931915283203,28.181055068969727,28.558256149291992,1970359.0
ARE,51.55072784423828,68.7300033569336,69.0,68.04000091552734,68.52999877929688,759600.0
ATO,28.178823471069336,35.70000076293945,36.0,35.2599983215332,35.45000076293945,332100.0
ATVI,10.39284610748291,11.229999542236328,11.390000343322754,11.199999809265137,11.260000228881836,5846000.0
AVB,97.8545150756836,132.72000122070312,134.7100067138672,132.69000244140625,134.14999389648438,1209800.0
AVGO,27.363794326782227,34.529998779296875,35.15999984741211,34.5,35.029998779296875,1587500.0
AVY,27.394590377807617,33.25,33.45000076293945,32.869998931884766,33.2599983215332,445900.0
AWK,31.192216873168945,37.91999816894531,37.970001220703125,37.2400016784668,37.880001068115234,1062600.0
AXP,49.22860336303711,56.400001525878906,56.65999984741211,55.75,55.88999938964844,5667500.0
AZO,360.2699890136719,360.2699890136719,368.989990234375,356.0299987792969,366.0899963378906,979600.0
BA,61.427791595458984,73.87000274658203,74.44999694824219,73.18000030517578,73.94000244140625,3818800.0
BAC,9.050780296325684,10.460000038146973,10.5600004196167,9.949999809265137,9.970000267028809,463491000.0
BAX,30.16754150390625,35.019012451171875,35.38294219970703,34.883216857910156,35.38294219970703,6238597.0
BBWI,27.094165802001953,41.41471481323242,41.87550354003906,41.15602111816406,41.60873031616211,2892353.0
BBY,9.106514930725098,12.079999923706055,12.449999809265137,12.029999732971191,12.199999809265137,6329100.0
BDX,65.03057861328125,75.50244140625,75.88292694091797,74.86829376220703,75.1024398803711,1164708.0
BEN,30.568405151367188,42.529998779296875,43.32666778564453,42.266666412353516,42.973331451416016,2357700.0
BF.B,,,,,,
BIIB,150.5500030517578,150.5500030517578,152.66000366210938,150.27000427246094,152.4600067138672,736800.0
BIO,104.55999755859375,104.55999755859375,105.91000366210938,104.27999877929688,105.38999938964844,56800.0
BK,19.44553565979004,23.739999771118164,23.829999923706055,23.260000228881836,23.59000015258789,9941100.0
