,Adj Close,Close,High,Low,Open,Volume
A,156.23471069335938,156.47999572753906,159.44000244140625,153.92999267578125,159.0,1606300.0
AAL,18.75,18.75,19.18000030517578,18.200000762939453,18.229999542236328,42781000.0
AAP,235.06851196289062,236.77999877929688,242.14999389648438,234.8699951171875,240.63999938964844,899800.0
AAPL,182.00999450683594,182.00999450683594,182.8800048828125,177.7100067138672,177.8300018310547,104487900.0
ABBV,132.89967346191406,135.4199981689453,135.6999969482422,133.50999450683594,135.41000366210938,6839800.0
ABC,132.18898010253906,132.6199951171875,132.9199981689453,130.8699951171875,132.5800018310547,977800.0
ABMD,366.2900085449219,366.2900085449219,366.32000732421875,353.32000732421875,358.0,240000.0
ABT,138.55128479003906,139.0399932861328,139.8300018310547,137.2100067138672,139.42999267578125,6688100.0
ACN,406.156982421875,407.2099914550781,415.5299987792969,405.0400085449219,414.6600036621094,2129900.0
ADBE,564.3699951171875,564.3699951171875,575.0,553.27001953125,566.6500244140625,2862700.0
ADI,176.28965759277344,177.14999389648438,177.60000610351562,174.75,175.1699981689453,2667500.0
ADM,67.53131866455078,67.88999938964844,68.16000366210938,67.37000274658203,67.5999984741211,2134200.0
ADP,242.79983520507812,244.00999450683594,247.47000122070312,241.42999267578125,245.05999755859375,1397000.0
ADSK,283.7200012207031,283.7200012207031,284.9599914550781,275.6600036621094,280.7300109863281,1082800.0
AEE,87.99652099609375,88.58000183105469,89.25,87.38999938964844,89.25,1134800.0
AEP,87.84375,88.61000061035156,88.7699966430664,87.52999877929688,88.62999725341797,2661600.0
AES,24.02483367919922,24.3799991607666,24.700000762939453,24.040000915527344,24.40999984741211,2741200.0
AFL,57.90706253051758,58.27000045776367,59.02000045776367,58.09000015258789,58.630001068115234,3231000.0
AIG,57.07633972167969,57.38999938964844,58.08000183105469,57.130001068115234,57.18000030517578,3376300.0
AIZ,155.6200714111328,156.27000427246094,157.5,155.24000549316406,156.38999938964844,297100.0
AJG,166.17454528808594,166.7100067138672,169.99000549316406,165.58999633789062,169.2899932861328,701600.0
AKAM,117.51000213623047,117.51000213623047,117.68000030517578,115.5999984741211,117.16999816894531,951900.0
ALB,236.6699981689453,236.6699981689453,239.0500030517578,229.39999389648438,236.72999572753906,1130500.0
ALGN,648.0499877929688,648.0499877929688,658.5,641.1199951171875,656.2999877929688,428200.0
ALK,54.06999969482422,54.06999969482422,54.630001068115234,52.83000183105469,52.86000061035156,1942000.0
ALL,117.43793487548828,118.2699966430664,119.70999908447266,117.37000274658203,117.75,1924600.0
ALLE,129.36000061035156,129.36000061035156,132.3000030517578,127.77999877929688,132.17999267578125,608900.0
AMAT,159.64215087890625,159.92999267578125,160.77999877929688,156.6999969482422,157.74000549316406,5363900.0
AMCR,11.760000228881836,11.880000114440918,12.039999961853027,11.800000190734863,12.020000457763672,3966400.0
AMD,150.24000549316406,150.24000549316406,151.64999389648438,145.02000427246094,145.13999938964844,59396600.0
AME,143.42465209960938,143.6699981689453,147.39999389648438,142.75999450683594,147.25,850400.0
AMGN,224.76284790039062,226.69000244140625,226.97000122070312,222.02999877929688,223.6300048828125,2742800.0
AMP,303.1827697753906,304.260009765625,306.3399963378906,302.4200134277344,303.67999267578125,390500.0
AMT,284.85736083984375,286.3800048828125,292.54998779296875,280.2799987792969,292.3699951171875,1597900.0
AMZN,3408.090087890625,3408.090087890625,3414.070068359375,3323.2099609375,3351.0,3176000.0
ANET,142.24000549316406,142.24000549316406,144.5,140.6699981689453,144.08999633789062,2296600.0
ANSS,395.489990234375,395.489990234375,403.17999267578125,390.5,398.95001220703125,377200.0
ANTM,463.5552978515625,464.8599853515625,465.0299987792969,456.1300048828125,461.79998779296875,927200.0
AON,292.68646240234375,293.239990234375,300.5199890136719,292.70001220703125,300.17999267578125,808700.0
AOS,82.89080810546875,83.56999969482422,86.08000183105469,82.94000244140625,85.83999633789062,840000.0
APA,27.951675415039062,28.059999465942383,28.139999389648438,26.979999542236328,27.079999923706055,9319700.0
APD,295.80999755859375,295.80999755859375,305.0,295.7200012207031,304.5199890136719,1130100.0
APH,86.5,86.5,88.0,86.38999938964844,87.80000305175781,1926300.0
APTV,166.02999877929688,166.02999877929688,168.22999572753906,165.0,166.3800048828125,1184400.0
ARE,219.8300018310547,219.8300018310547,224.3300018310547,215.9600067138672,223.16000366210938,769800.0
ATO,104.33692169189453,105.01000213623047,105.02999877929688,103.52999877929688,105.0,941600.0
ATVI,67.02161407470703,67.41999816894531,67.66999816894531,65.80000305175781,66.44000244140625,13208100.0
AVB,251.06472778320312,252.6199951171875,255.91000366210938,248.72000122070312,255.91000366210938,626200.0
AVGO,663.3200073242188,663.3200073242188,671.7000122070312,661.219970703125,666.3200073242188,2259100.0
AVY,209.99642944335938,210.80999755859375,217.2100067138672,210.35000610351562,216.80999755859375,408300.0
AWK,183.42652893066406,184.13999938964844,189.25,182.1999969482422,188.97000122070312,712600.0
AXP,167.31396484375,168.2100067138672,168.39999389648438,164.39999389648438,164.50999450683594,3236400.0
AZO,2045.1099853515625,2045.1099853515625,2089.18994140625,2024.5,2077.489990234375,150300.0
BA,207.86000061035156,207.86000061035156,210.5500030517578,203.33999633789062,204.0,9060200.0
BAC,45.95530700683594,46.18000030517578,46.4900016784668,44.97999954223633,45.09000015258789,58587900.0
BAX,86.58631134033203,86.87000274658203,86.93000030517578,85.19000244140625,85.5199966430664,1899800.0
BBWI,69.368896484375,69.62000274658203,70.72000122070312,68.80000305175781,69.9000015258789,2732800.0
BBY,101.21501159667969,102.12000274658203,103.58000183105469,101.44999694824219,102.43000030517578,2828800.0
BDX,246.22352600097656,247.03414916992188,247.38536071777344,240.89756774902344,244.1268310546875,1022335.0
BEN,33.07566833496094,33.40999984741211,34.060001373291016,33.189998626708984,33.709999084472656,1342900.0
BF.B,,,,,,
BIIB,244.13999938964844,244.13999938964844,247.50999450683594,238.07000732421875,240.14999389648438,1642200.0
BIO,735.4199829101562,735.4199829101562,752.1699829101562,721.7899780273438,752.1699829101562,111000.0
BK,58.16918182373047,58.5099983215332,59.02000045776367,58.349998474121094,58.599998474121094,3254600.0
BKNG,2461.419921875,2461.419921875,2466.0,2396.610107421875,2423.0,389000.0
BKR,24.869014739990234,25.040000915527344,25.06999969482422,24.100000381469727,24.100000381469727,4790600.0
BLK,905.6988525390625,911.72998046875,922.0700073242188,905.4299926757812,918.3400268554688,470800.0
BLL,93.05474090576172,93.26000213623047,96.04000091552734,92.83999633789062,95.95999908447266,1558500.0
BMY,61.34243392944336,61.880001068115234,62.2400016784668,61.34000015258789,62.06999969482422,12359400.0
BR,180.14910888671875,180.9499969482422,183.33999633789062,179.02000427246094,183.02999877929688,478100.0
BRK.B,,,,,,
BRO,68.68592834472656,68.79000091552734,70.5999984741211,68.31999969482422,70.4000015258789,1543500.0
BSX,43.119998931884766,43.119998931884766,43.150001525878906,42.099998474121094,42.59000015258789,5093500.0
BWA,44.997779846191406,45.18000030517578,45.88999938964844,44.83000183105469,45.470001220703125,2111600.0
BXP,119.05296325683594,119.94000244140625,120.0,116.0199966430664,116.5999984741211,1100900.0
C,61.96854782104492,63.099998474121094,63.61000061035156,61.11000061035156,61.18000030517578,30508500.0
CAG,33.4620361328125,34.060001373291016,34.099998474121094,33.470001220703125,34.0,4799600.0
CAH,52.0099983215332,52.0099983215332,52.040000915527344,51.22999954223633,51.52000045776367,2378800.0
CARR,52.32432174682617,52.52000045776367,53.599998474121094,52.220001220703125,53.150001525878906,4505100.0
CAT,206.0004425048828,207.0,208.60000610351562,205.8000030517578,207.3300018310547,2055600.0
CB,190.7140655517578,191.44000244140625,194.19000244140625,190.8300018310547,193.49000549316406,1971900.0
CBOE,128.4600067138672,128.4600067138672,129.92999267578125,126.54000091552734,129.88999938964844,464600.0
CBRE,108.66999816894531,108.66999816894531,110.2300033569336,107.69000244140625,109.3499984741211,933300.0
CCI,207.74000549316406,207.74000549316406,209.0,203.77999877929688,209.0,1641800.0
CCL,21.40999984741211,21.40999984741211,21.739999771118164,20.43000030517578,20.559999465942383,38836800.0
CDAY,104.94000244140625,104.94000244140625,105.5,103.0,104.62999725341797,1041600.0
CDNS,183.16000366210938,183.16000366210938,188.57000732421875,181.8800048828125,185.67999267578125,1104200.0
CDW,205.00999450683594,205.00999450683594,206.99000549316406,203.3800048828125,205.33999633789062,850000.0
CE,166.74525451660156,167.49000549316406,169.6300048828125,166.6199951171875,168.89999389648438,693900.0
CEG,,,,,,
CERN,92.57233428955078,92.83999633789062,93.16999816894531,92.72000122070312,92.87000274658203,4950600.0
CF,70.31404113769531,70.58999633789062,72.30999755859375,70.08999633789062,71.54000091552734,2637600.0
CFG,48.77002716064453,49.13999938964844,49.54999923706055,48.02000045776367,48.36000061035156,4770500.0
CHD,101.4372787475586,101.70999908447266,101.83999633789062,99.77999877929688,101.37000274658203,1516500.0
CHRW,107.9000015258789,107.9000015258789,110.5,107.30000305175781,109.12000274658203,1383200.0
CHTR,647.5800170898438,647.5800170898438,651.7999877929688,638.6799926757812,642.75,1047300.0
CI,233.09718322753906,234.1999969482422,234.39999389648438,228.64999389648438,229.49000549316406,1434400.0
CINF,112.51194763183594,113.11000061035156,115.81999969482422,112.43000030517578,114.36000061035156,403800.0
CL,83.6424331665039,84.58999633789062,84.80000305175781,83.48999786376953,84.55000305175781,5327000.0
CLX,172.4595184326172,174.92999267578125,175.0399932861328,171.11000061035156,174.0,1039100.0
CMA,87.92559814453125,88.61000061035156,90.18000030517578,88.04000091552734,88.31999969482422,1385300.0
CMCSA,50.20664596557617,50.7400016784668,50.95000076293945,49.709999084472656,49.97999954223633,20706000.0
CME,224.44775390625,225.4600067138672,229.5,223.89999389648438,229.1300048828125,1317500.0
CMG,1690.6700439453125,1690.6700439453125,1749.0699462890625,1682.4200439453125,1740.0,272000.0
CMI,218.1045379638672,219.52999877929688,220.77999877929688,218.27000427246094,218.7100067138672,864000.0
