,Adj Close,Close,High,Low,Open,Volume
A,24.263269424438477,26.494993209838867,26.630901336669922,26.402002334594727,26.437768936157227,3380224.0
AAL,9.804511070251465,10.399999618530273,10.470000267028809,10.100000381469727,10.40999984741211,5385700.0
AAP,67.88902282714844,71.0199966430664,71.4800033569336,70.73999786376953,71.12000274658203,452600.0
AAPL,20.475534439086914,23.70964241027832,23.983928680419922,23.673213958740234,23.95142936706543,302699600.0
ABBV,,,,,,
ABC,32.710731506347656,38.099998474121094,38.16999816894531,37.439998626708984,37.58000183105469,2373200.0
ABMD,22.139999389648438,22.139999389648438,22.280000686645508,21.889999389648438,22.25,219700.0
ABT,26.118051528930664,31.37891960144043,31.48447608947754,31.26376724243164,31.35972785949707,6302418.0
ACN,50.34976577758789,61.150001525878906,61.369998931884766,60.5,60.79999923706055,2082700.0
ADBE,31.459999084472656,31.459999084472656,31.850000381469727,31.350000381469727,31.770000457763672,3174800.0
ADI,31.481727600097656,39.38999938964844,39.689998626708984,39.13999938964844,39.459999084472656,1557600.0
ADM,20.41442108154297,26.530000686645508,26.600000381469727,26.350000381469727,26.40999984741211,3360200.0
ADP,40.703346252441406,50.86040496826172,51.16769027709961,50.816505432128906,51.05355453491211,1576262.0
ADSK,30.40999984741211,30.40999984741211,30.8700008392334,30.190000534057617,30.850000381469727,2775200.0
AEE,23.636730194091797,33.0,33.06999969482422,32.790000915527344,32.90999984741211,1972200.0
AEP,30.371505737304688,42.79999923706055,42.880001068115234,42.68000030517578,42.86000061035156,1693200.0
AES,8.505171775817871,11.390000343322754,11.5,11.369999885559082,11.479999542236328,2436200.0
AFL,18.26826286315918,23.010000228881836,23.125,22.8799991607666,23.024999618530273,2781000.0
AIG,27.847579956054688,33.790000915527344,33.9900016784668,33.5099983215332,33.61000061035156,5749700.0
AIZ,28.48422622680664,34.59000015258789,34.720001220703125,33.81999969482422,33.88999938964844,1011800.0
AJG,27.82645034790039,35.75,35.880001068115234,35.58000183105469,35.79999923706055,222300.0
AKAM,37.310001373291016,37.310001373291016,37.5099983215332,37.029998779296875,37.43000030517578,1724300.0
ALB,46.923133850097656,54.400001525878906,54.66999816894531,54.040000915527344,54.20000076293945,1073700.0
ALGN,33.83000183105469,33.83000183105469,34.060001373291016,33.41999816894531,33.65999984741211,856300.0
ALK,15.085108757019043,16.774999618530273,16.8700008392334,16.604999542236328,16.719999313354492,563600.0
ALL,30.629844665527344,37.18000030517578,37.29999923706055,37.02000045776367,37.150001525878906,1921800.0
ALLE,,,,,,
AMAT,9.809375762939453,11.470000267028809,11.630000114440918,11.449999809265137,11.609999656677246,9928500.0
AMCR,5.4190802574157715,7.550000190734863,7.550000190734863,7.550000190734863,7.550000190734863,0.0
AMD,3.700000047683716,3.700000047683716,3.799999952316284,3.700000047683716,3.75,12154100.0
AME,32.06614303588867,34.189998626708984,34.41999816894531,33.939998626708984,34.31999969482422,963900.0
AMGN,65.37754821777344,83.1500015258789,83.38999938964844,82.58999633789062,83.23999786376953,3213000.0
AMP,43.367919921875,54.54999923706055,54.849998474121094,53.72999954223633,54.060001373291016,897800.0
