,Adj Close,Close,High,Low,Open,Volume
A,24.118438720703125,26.466381072998047,26.69527816772461,25.5507869720459,25.66523551940918,6842651.0
AAL,5.156795501708984,5.46999979019165,5.480000019073486,5.070000171661377,5.150000095367432,8216100.0
AAP,67.92721557617188,71.16999816894531,71.41999816894531,69.66000366210938,70.44000244140625,596900.0
AAPL,12.83804988861084,14.929642677307129,14.948213577270508,14.738213539123535,14.819643020629883,271269600.0
ABBV,,,,,,
ABC,32.70099639892578,38.4900016784668,38.4900016784668,37.81999969482422,37.88999938964844,2376000.0
ABMD,18.270000457763672,18.270000457763672,18.450000762939453,17.68000030517578,18.020000457763672,164500.0
ABT,21.9581298828125,27.04632568359375,27.15188217163086,26.959962844848633,27.11349868774414,13119425.0
ACN,42.29300308227539,51.91999816894531,52.970001220703125,51.810001373291016,52.95000076293945,5640900.0
ADBE,28.479999542236328,28.479999542236328,28.6200008392334,28.049999237060547,28.06999969482422,2999500.0
ADI,28.208093643188477,36.13999938964844,36.220001220703125,35.72999954223633,35.72999954223633,2124300.0
ADM,22.103775024414062,29.239999771118164,29.440000534057617,28.899999618530273,29.139999389648438,3324200.0
ADP,37.93043899536133,48.11237716674805,48.25285339355469,47.63827896118164,47.79631423950195,2999101.0
ADSK,30.81999969482422,30.81999969482422,31.229999542236328,29.81999969482422,30.100000381469727,3319600.0
AEE,22.871068954467773,32.72999954223633,32.970001220703125,32.5,32.68000030517578,1912900.0
AEP,28.0491943359375,40.95000076293945,41.09000015258789,40.66999816894531,40.849998474121094,4039900.0
AES,9.19962215423584,12.319999694824219,12.380000114440918,11.899999618530273,12.020000457763672,8710600.0
AFL,17.425291061401367,22.43000030517578,22.635000228881836,21.665000915527344,22.045000076293945,6241400.0
AIG,19.705108642578125,23.90999984741211,24.100000381469727,23.399999618530273,23.790000915527344,4944100.0
AIZ,33.39784622192383,41.22999954223633,41.380001068115234,40.38999938964844,40.7400016784668,592000.0
AJG,25.070541381835938,32.84000015258789,32.86000061035156,32.0099983215332,32.599998474121094,751000.0
AKAM,32.43000030517578,32.43000030517578,32.939998626708984,32.119998931884766,32.290000915527344,5430100.0
ALB,45.91420364379883,53.58000183105469,53.7599983215332,52.31999969482422,52.779998779296875,618800.0
ALGN,24.190000534057617,24.190000534057617,24.610000610351562,23.790000915527344,24.280000686645508,500400.0
ALK,16.915102005004883,18.809999465942383,18.8700008392334,18.397499084472656,18.5,1483200.0
ALL,22.414934158325195,27.739999771118164,27.760000228881836,26.979999542236328,27.309999465942383,3580600.0
ALLE,,,,,,
AMAT,9.058652877807617,10.829999923706055,10.84000015258789,10.640000343322754,10.720000267028809,13992700.0
AMCR,,,,,,
AMD,5.460000038146973,5.460000038146973,5.570000171661377,5.349999904632568,5.449999809265137,11476900.0
AME,27.14308738708496,29.02666664123535,29.1200008392334,28.01333236694336,28.34000015258789,938400.0
AMGN,49.89676284790039,64.41000366210938,64.91999816894531,63.58000183105469,63.81999969482422,6261500.0
AMP,39.99480438232422,51.2400016784668,51.33000183105469,49.65999984741211,50.36000061035156,1716700.0
AMT,50.14284896850586,60.349998474121094,60.47999954223633,58.529998779296875,59.5,4773200.0
AMZN,177.61000061035156,177.61000061035156,178.25,174.0500030517578,175.94000244140625,3809100.0
ANET,,,,,,
ANSS,57.29999923706055,57.29999923706055,57.54999923706055,55.209999084472656,56.209999084472656,324800.0
ANTM,58.57489013671875,68.51000213623047,68.66000366210938,67.33999633789062,67.72000122070312,2034500.0
AON,41.58668518066406,46.5,46.720001220703125,45.58000183105469,45.97999954223633,1525300.0
AOS,9.041089057922363,10.5024995803833,10.522500038146973,10.257499694824219,10.422499656677246,2875200.0
APA,81.83557891845703,97.16999816894531,97.44999694824219,95.55999755859375,95.97000122070312,3574600.0
APD,61.07982635498047,80.01850128173828,80.45328521728516,79.1859359741211,80.2127685546875,750971.0
APH,10.504983901977539,11.552499771118164,11.582500457763672,11.25,11.375,5246400.0
APTV,16.959453582763672,18.558256149291992,18.809722900390625,18.23973274230957,18.809722900390625,802293.0
ARE,50.382137298583984,68.62000274658203,68.80000305175781,66.9000015258789,67.31999969482422,515100.0
ATO,24.88071632385254,32.849998474121094,33.0099983215332,32.470001220703125,32.959999084472656,462900.0
ATVI,11.047775268554688,12.109999656677246,12.210000038146973,11.9399995803833,12.119999885559082,8809800.0
AVB,93.70962524414062,129.8300018310547,130.16000366210938,126.76000213623047,127.2300033569336,600700.0
AVGO,22.29749870300293,28.489999771118164,28.75,28.18000030517578,28.459999084472656,2007500.0
AVY,23.24142074584961,29.229999542236328,29.540000915527344,28.729999542236328,29.139999389648438,1526300.0
AWK,25.35207748413086,31.690000534057617,31.709999084472656,31.25,31.440000534057617,792400.0
AXP,42.15636444091797,48.79999923706055,49.25,47.70000076293945,47.84000015258789,6095100.0
